 vector size (bytes) ,time (s)
       63901 ,  9.918212890625000E-005
       64001 ,  9.083747863769531E-005
       64101 ,  9.894371032714844E-005
       64201 ,  1.389980316162109E-004
       64301 ,  9.608268737792969E-005
       64401 ,  1.158714294433594E-004
       64501 ,  1.051425933837891E-004
       64601 ,  9.298324584960938E-005
       64701 ,  9.799003601074219E-005
       64801 ,  1.020431518554688E-004
       64901 ,  9.799003601074219E-005
       65001 ,  1.058578491210938E-004
       65101 ,  1.189708709716797E-004
       65201 ,  9.512901306152344E-005
       65301 ,  9.989738464355469E-005
       65401 ,  1.008510589599609E-004
       65501 ,  1.020431518554688E-004
       65601 ,  1.010894775390625E-004
       65701 ,  1.201629638671875E-004
       65801 ,  9.703636169433594E-005
       65901 ,  9.417533874511719E-005
       66001 ,  9.918212890625000E-005
       66101 ,  9.512901306152344E-005
       66201 ,  1.029968261718750E-004
       66301 ,  1.258850097656250E-004
       66401 ,  1.099109649658203E-004
       66501 ,  9.489059448242188E-005
       66601 ,  9.894371032714844E-005
       66701 ,  9.894371032714844E-005
       66801 ,  9.918212890625000E-005
       66901 ,  1.130104064941406E-004
       67001 ,  1.180171966552734E-004
       67101 ,  1.080036163330078E-004
       67201 ,  1.029968261718750E-004
       67301 ,  1.101493835449219E-004
       67401 ,  2.009868621826172E-004
       67501 ,  1.411437988281250E-004
       67601 ,  1.039505004882812E-004
       67701 ,  9.393692016601562E-005
       67801 ,  1.010894775390625E-004
       67901 ,  1.230239868164062E-004
       68001 ,  1.111030578613281E-004
       68101 ,  9.703636169433594E-005
       68201 ,  1.058578491210938E-004
       68301 ,  9.679794311523438E-005
       68401 ,  1.010894775390625E-004
       68501 ,  1.270771026611328E-004
       68601 ,  1.449584960937500E-004
       68701 ,  9.894371032714844E-005
       68801 ,  1.039505004882812E-004
       68901 ,  9.512901306152344E-005
       69001 ,  1.029968261718750E-004
       69101 ,  1.249313354492188E-004
       69201 ,  1.170635223388672E-004
       69301 ,  1.039505004882812E-004
       69401 ,  1.080036163330078E-004
       69501 ,  9.512901306152344E-005
       69601 ,  1.029968261718750E-004
       69701 ,  1.270771026611328E-004
       69801 ,  1.108646392822266E-004
       69901 ,  1.349449157714844E-004
       70001 ,  1.449584960937500E-004
       70101 ,  1.041889190673828E-004
       70201 ,  1.180171966552734E-004
       70301 ,  1.230239868164062E-004
       70401 ,  1.049041748046875E-004
       70501 ,  1.091957092285156E-004
       70601 ,  9.799003601074219E-005
       70701 ,  1.051425933837891E-004
       70801 ,  1.289844512939453E-004
       70901 ,  1.080036163330078E-004
       71001 ,  1.029968261718750E-004
